OBJECTID,site_name,site_addr,aff_unit,tot_units,zip_code,state_fp,county_fp,tractce,neighborhood,,,
661,2235 Third Street,2235 Third Street,36,36,94107,6,75,22600,Potrero Hill,,,
690,O&M,650 INDIANA ST,16,111,94107,6,75,22600,Potrero Hill,,,
332,Glen Park Marketplace,53 WILDER ST,2,15,94131,6,75,21800,Glen Park,,,
351,Silver Park,901-933 BAYSHORE BLVD,4,40,94124,6,75,23001,Bayview Hunters Point,,,
25,Diamond View Apts,296 Addison St,58,58,94131,6,75,21700,Glen Park,,,
60,Glenridge Apartments,137 Addison St,209,275,94131,6,75,21700,Glen Park,,,
241,1601 Mariposa Street - 80/20 Apartments,1601 Mariposa Street,60,61,94107,6,75,22704,Potrero Hill,,,
274,18th & Arkansas,300 ARKANSAS ST,6,61,94107,6,75,22704,Potrero Hill,,,
300,945 Vermont,929 VERMONT ST,1,10,94107,6,75,22704,Potrero Hill,,,
349,The Potrero,450 RHODE ISLAND ST,20,165,94107,6,75,22704,Potrero Hill,,,
419,"Onyx, Phase I",1717 17TH ST,2,20,94103,6,75,22704,Potrero Hill,,,
535,Goodman 2 Art Complex,1695 18TH ST,5,29,94107,6,75,22704,Potrero Hill,,,
446,480 Potrero,480 POTRERO AVE,11,75,94110,6,75,22802,Mission,,,
653,Mariposa Gardens,500 Potrero Street,62,63,94110,6,75,22802,Mission,,,
14,Vista Del Monte Apartments,49 Goldmine Drive,104,104,94131,6,75,21600,Noe Valley,,,
51,Casa De Vida,5157 Diamond Heights Blvd,21,21,94131,6,75,21600,Noe Valley,,,
290,St. Paul's Commons,317 29TH ST,4,36,94131,6,75,21500,Noe Valley,,,
378,1598 Dolores,1598 DOLORES ST,1,13,94110,6,75,21500,Noe Valley,,,
615,60 28th Street,60 28TH ST,6,6,94110,6,75,21500,Noe Valley,,,
291,Clipper,672-676 B CLIPPER ST,2,24,94114,6,75,21300,Noe Valley,,,
673,3930 24th,3922-32 24TH ST,2,19,94114,6,75,21100,Noe Valley,,,
17,Bethany Center,580 Capp St,123,135,94110,6,75,20801,Mission,,,
50,Casa De La Raza,90 Bartlett St,51,51,94110,6,75,20801,Mission,,,
123,Juan Pifarre Plaza,3101 21st Street,29,30,94110,6,75,20801,Mission,,,
617,305 San Carlos,305 SAN CARLOS ST,12,12,94110,6,75,20801,Mission,,,
620,654-658 Capp,654-658 CAPP ST,7,7,94110,6,75,20801,Mission,,,
288,39 Boardman Place,39-43 BOARDMAN PL,1,14,94103,6,75,18000,South of Market,,,
361,8 McLea Court,8 MCLEA CT,3,102,94103,6,75,18000,South of Market,,,
373,77 Bluxome,77 BLUXOME ST,10,102,94107,6,75,18000,South of Market,,,
377,Galvin Apartments,785-787 BRANNAN ST,56,56,94103,6,75,18000,South of Market,,,
442,855 Brannan,801 BRANNAN ST,55,432,94103,6,75,18000,South of Market,,,
556,TIHDI: TISH Phases 1 & 2,1403 STURGEON ST,66,66,94130,6,75,17903,Treasure Island,,,
557,TIHDI: Female Offender Treatment and Education Program,1440 CHINOOK CT,0,6,94130,6,75,17903,Treasure Island,,,
558,TIHDI: 1445 Chinook,1445 CHINOOK CT,0,6,94130,6,75,17903,Treasure Island,,,
559,Halibut Court,1432 HALIBUT CT,0,24,94130,6,75,17903,Treasure Island,,,
563,TIHDI: Island Bay Homes,1411 FLOUNDER CT,68,70,94130,6,75,17903,Treasure Island,,,
667,Maceo May Apartments,401 Avenue of the Palms,104,105,94130,6,75,17903,Treasure Island,,,
696,Chinook Family Apartments,1441 & 1443 CHINOOK CT,12,12,94130,6,75,17903,Treasure Island,,,
697,TIHDI: CHP Villages,410 AVENUE OF THE PALMS,43,44,94130,6,75,17903,Treasure Island,,,
316,149 Fair Oaks,149 FAIR OAKS ST,1,12,94110,6,75,21000,Mission,,,
472,1198 Valencia,1188 VALENCIA ST,6,49,94110,6,75,21000,Mission,,,
592,380 San Jose Avenue,380 SAN JOSE AVE,4,4,94110,6,75,21000,Mission,,,
43,Abel Gonzales Apartments,1045 Capp Street,30,30,94110,6,75,20900,Mission,,,
105,Del Carlo Court,3330 Cesar Chavez Street,25,25,94110,6,75,20900,Mission,,,
399,555 Bartlett,3400 CESAR CHAVEZ ST,9,58,94110,6,75,20900,Mission,,,
483,Capp Street Apartments,890 CAPP ST,4,4,94110,6,75,20900,Mission,,,
549,26th Street Cooperative Apartments,3327-3331 26TH ST,0,10,94110,6,75,20900,Mission,,,
